Nama;Subsektor
Pemprov Kalimantan Tengah;Pemerintah Daerah
Pemprov Kalimantan Utara;Pemerintah Daerah
Pemprov Banten;Pemerintah Daerah
Pemprov Dki Jakarta;Pemerintah Daerah
Pemprov Jawa Barat;Pemerintah Daerah
Pemprov Jawa Tengah;Pemerintah Daerah
Pemprov Daerah Istimewa Yogyakarta;Pemerintah Daerah
Pemprov Jawa Timur;Pemerintah Daerah
Pemprov Bali;Pemerintah Daerah
Pemprov Nusa Tenggara Timur;Pemerintah Daerah
Pemprov Nusa Tenggara Barat;Pemerintah Daerah
Pemprov Gorontalo;Pemerintah Daerah
Pemprov Sulawesi Barat;Pemerintah Daerah
Pemprov Sulawesi Tengah;Pemerintah Daerah
Pemprov Sulawesi Utara;Pemerintah Daerah
Pemprov Sulawesi Tenggara;Pemerintah Daerah
Pemprov Sulawesi Selatan;Pemerintah Daerah
Pemprov Maluku Utara;Pemerintah Daerah
Pemprov Maluku;Pemerintah Daerah
Pemprov Papua Barat;Pemerintah Daerah
Pemprov Papua;Pemerintah Daerah
Pemprov Papua Tengah;Pemerintah Daerah
Pemprov Papua Pegunungan;Pemerintah Daerah
Pemprov Papua Selatan;Pemerintah Daerah
Pemprov Papua Barat Daya;Pemerintah Daerah
